"","Hugo_Symbol","Entrez_Gene_Id","LE60_slope","GT60_slope","AllAges_slope","LE60_pval","GT60_pval","AllAges_pval","AgeDependentp","LE60_BHadj_pval","GT60_BHadj_pval","AllAges_BHadj_pval","BHadj_and_AgeDependentp","BHadj_signifp","LE60_log2FC","GT60_log2FC","AllAges_log2FC","Best_log2FC","Best_BHadj_pval"
"95","ABCG1",9619,0.002850011162686,0.0057071262112485,0.00663217379336888,0.600467121662467,0.294155710387299,0.00300521257723406,0,0.929344492619381,0.627089563634417,0.0137954917881699,TRUE,TRUE,0.09975039069401,0.171213786337455,0.431091296568977,0.431091296568977,0.0137954917881699
"103","ABHD12",26090,0.00598485479044111,0.0153342739799418,0.00917545287176459,0.0825398148308188,0.000144077309277427,1.76994477115246e-09,1,0.569393179852871,0.0455313828579232,1.42298934477831e-07,TRUE,TRUE,0.209469917665439,0.460028219398255,0.596404436664698,0.596404436664698,1.42298934477831e-07
"105","ABHD14A",25864,0.00724523537690192,0.0113982511637888,0.00817478689287681,0.0827426697791807,0.0152088891924047,6.0882476038647e-06,0,0.569556060046183,0.194996278811276,9.52301294870853e-05,TRUE,TRUE,0.253583238191567,0.341947534913664,0.531361148036993,0.531361148036993,9.52301294870853e-05
"106","ABHD14B",84836,0.00359005547844196,0.00429537754606323,0.00623108024080336,0.347407360345221,0.269935638336101,8.37944450381057e-05,0,0.827828957186044,0.611101380411424,0.000781804275352237,TRUE,TRUE,0.125651941745469,0.128861326381897,0.405020215652218,0.405020215652218,0.000781804275352237
"109","ABHD2",11057,-0.0164675329493512,-0.0085213228341002,-0.00675740987117987,0.0113711259161643,0.190035754042631,0.0113574881437541,0,0.289765212404801,0.543702505082541,0.0395422461999832,TRUE,TRUE,-0.57636365322729,-0.255639685023006,-0.439231641626692,-0.439231641626692,0.0395422461999832
"110","ABHD3",171586,0.0134063225368944,0.00274037555144973,0.00829712309607315,0.00200667322353073,0.611578015753146,2.62994932093534e-05,0,0.140929143193462,0.835594324638792,0.000307660413691789,TRUE,TRUE,0.469221288791305,0.082211266543492,0.539313001244755,0.539313001244755,0.000307660413691789
"113","ABHD6",57406,0.00809291675338447,0.000926625284578616,0.00629380683250522,0.0362580866556286,0.824036310708826,0.000126008671335964,0,0.437266522647788,0.935549696236669,0.00107480768618242,TRUE,TRUE,0.283252086368457,0.0277987585373585,0.409097444112839,0.409097444112839,0.00107480768618242
"117","ABI3BP",25890,0.000398424736625056,-0.0304980968939933,-0.0135894365952221,0.964033440232419,0.00170221035019427,0.000332169307396438,0,0.993469364966571,0.101955141048882,0.00236100818936027,TRUE,TRUE,0.0139448657818769,-0.9149429068198,-0.883313378689434,-0.883313378689434,0.00236100818936027
"123","ABLIM3",22885,0.00356378152870665,0.00500991160600162,0.0134659192070559,0.675675221382287,0.579165977190994,0.000180956803327399,0,0.952657778502228,0.818675824861831,0.00144123701855108,TRUE,TRUE,0.124732353504733,0.150297348180049,0.875284748458635,0.875284748458635,0.00144123701855108
"130","ABTB2",25841,-0.00010680991632172,-0.0142822571643359,-0.0106050399357026,0.987557649001647,0.0528952514630031,0.000266264967853468,0,0.997662663007744,0.32257160576035,0.00197018723679266,TRUE,TRUE,-0.00373834707126021,-0.428467714930077,-0.68932759582067,-0.68932759582067,0.00197018723679266
