"","Hugo_Symbol","Entrez_Gene_Id","LE60_slope","GT60_slope","AllAges_slope","LE60_pval","GT60_pval","AllAges_pval","AgeDependentp","LE60_BHadj_pval","GT60_BHadj_pval","AllAges_BHadj_pval","BHadj_and_AgeDependentp","BHadj_signifp","LE60_log2FC","GT60_log2FC","AllAges_log2FC","Best_log2FC","Best_BHadj_pval"
"302","ADAMTS8",11095,-0.0121786882105169,-0.00460406601300553,-0.0123717310755052,0.0622474756733252,0.4049461241935,1.01648479986559e-06,1,0.524184341816486,0.711977963577459,2.30705668386619e-05,TRUE,TRUE,-0.426254087368092,-0.138121980390166,-0.80416251990784,-0.80416251990784,2.30705668386619e-05
"337","ADD3",120,-0.0111400807356894,-0.021813749239933,-0.015362710426411,0.0339232098523544,0.00119189249842361,2.77689655234998e-10,1,0.430075564500685,0.0937373458136505,3.05115241077293e-08,TRUE,TRUE,-0.38990282574913,-0.654412477197991,-0.998576177716712,-0.998576177716712,3.05115241077293e-08
"356","ADORA1",134,-0.0122281217342218,-0.0162149398731642,-0.0195832374386811,0.129777678080116,0.0671943034476005,1.62662214827389e-08,1,0.64768410425478,0.353028291793711,8.50211683996763e-07,TRUE,TRUE,-0.427984260697764,-0.486448196194925,-1.27291043351427,-1.27291043351427,8.50211683996763e-07
"389","AFF2",2334,-0.00250533152222293,-0.0177961494137288,-0.0109830125201997,0.623730011028595,0.000409880203732474,1.56286666451584e-07,1,0.938012814294981,0.0598730197007158,5.10228530714221e-06,TRUE,TRUE,-0.0876866032778027,-0.533884482411863,-0.713895813812981,-0.713895813812981,5.10228530714221e-06
"415","AGFG2",3268,0.00928283134462345,0.00686546811965581,0.00815095874737261,0.00510233951632805,0.0911481737931923,5.38389387389128e-08,1,0.206169617434902,0.401724224242284,2.12414361198294e-06,TRUE,TRUE,0.324899097061821,0.205964043589674,0.52981231857922,0.52981231857922,2.12414361198294e-06
"423","AGPAT4",56895,-0.00770029409977867,-0.015215768244939,-0.0145031171005048,0.116287261862286,0.00901494332879626,3.67789647762449e-11,1,0.628935135262077,0.166474819116697,6.36992968756032e-09,TRUE,TRUE,-0.269510293492253,-0.456473047348171,-0.942702611532813,-0.942702611532813,6.36992968756032e-09
"463","AIG1",51390,0.0142948406112938,0.00837938929125795,0.0113956162324424,0.000126025577858976,0.053434102945788,4.61294371619942e-12,1,0.0367940676386271,0.323672013000657,1.32781310884461e-09,TRUE,TRUE,0.500319421395282,0.251381678737739,0.740715055108758,0.740715055108758,1.32781310884461e-09
"516","AKT3",10000,-0.0131872965265831,-0.0226733820364915,-0.0160415082001157,0.041703726306938,0.00141735446569733,7.58220194291633e-09,1,0.462181863726522,0.0982011759722176,4.55502881544341e-07,TRUE,TRUE,-0.461555378430407,-0.680201461094744,-1.04269803300752,-1.04269803300752,4.55502881544341e-07
"519","ALAS1",211,0.00784858060061188,0.00593169403852766,0.00531917774219007,0.00104758256544288,0.0195977998638235,1.39597272895706e-07,1,0.102930023509404,0.218029524124639,4.64649750190481e-06,TRUE,TRUE,0.274700321021416,0.17795082115583,0.345746553242355,0.345746553242355,4.64649750190481e-06
"526","ALDH1A2",8854,-0.0084889979152664,-0.021062960489612,-0.0134377951332315,0.163080173590938,0.000343993318831018,5.52624263455033e-08,1,0.686340508170921,0.0571560281052806,2.16359809812845e-06,TRUE,TRUE,-0.297114927034324,-0.631888814688361,-0.873456683660048,-0.873456683660048,2.16359809812845e-06
"530","ALDH1L2",160428,-0.00743054910471373,-0.0134207176441377,-0.0148633674682794,0.244286570002821,0.0664752558962212,1.05945443135375e-07,1,0.759909567483319,0.351592858372431,3.70120858351736e-06,TRUE,TRUE,-0.260069218664981,-0.40262152932413,-0.966118885438162,-0.966118885438162,3.70120858351736e-06
"542","ALDOA",226,0.00889646322984956,0.0111055672822361,0.0104990785503783,0.0241957356794005,0.0210272090953746,3.80337636604948e-09,1,0.381246652979472,0.223134027233732,2.68033113079149e-07,TRUE,TRUE,0.311376213044735,0.333167018467084,0.682440105774591,0.682440105774591,2.68033113079149e-07
"610","AMH",268,0.0200678978111502,0.00902593436351671,0.0104984550597147,6.78893374434743e-06,0.102994356185012,2.24350653551669e-07,1,0.0107291770920811,0.423713860770912,6.89481850621875e-06,TRUE,TRUE,0.702376423390258,0.270778030905501,0.682399578881453,0.682399578881453,6.89481850621875e-06
"616","AMMECR1",9949,-0.00855242030971533,-0.00602296695443203,-0.00945941593190088,0.0470426352179771,0.25144508360754,1.11341503082246e-06,1,0.48021722547514,0.608068059837569,2.47841955066671e-05,TRUE,TRUE,-0.299334710840037,-0.180689008632961,-0.614862035573557,-0.614862035573557,2.47841955066671e-05
"619","AMOTL1",154810,-0.00659455813516748,-0.0236994795494168,-0.0164050933520339,0.244942368368703,0.000699441476198824,2.04509513392471e-10,1,0.759909567483319,0.0759535400592842,2.48783388404877e-08,TRUE,TRUE,-0.230809534730862,-0.710984386482505,-1.0663310678822,-1.0663310678822,2.48783388404877e-08
"625","AMPH",273,-0.039981608491542,-0.00687485986030906,-0.0228411646760587,1.60143740577342e-06,0.375315433494937,9.11610296810255e-12,1,0.00467551089454164,0.690626278320488,2.166346469292e-09,TRUE,TRUE,-1.39935629720397,-0.206245795809272,-1.48467570394382,-1.48467570394382,2.166346469292e-09
