"Breast_MB","Breast_TCGA and Breast_MB","Breast_TCGA","Lung","Thyroid","Lung and Breast_TCGA and Breast_MB","Lung and Breast_MB","Lung and Breast_TCGA","Thyroid and Breast_TCGA","Thyroid and Breast_MB","Thyroid and Breast_TCGA and Breast_MB","Prostate","Kidney","Thyroid and Lung","Kidney and Breast_TCGA and Breast_MB","Prostate and Breast_MB","Thyroid and Lung and Breast_MB","Prostate and Breast_TCGA and Breast_MB","Kidney and Thyroid and Breast_TCGA and Breast_MB","Kidney and Thyroid and Breast_TCGA","Lung and Thyroid and Breast_TCGA and Breast_MB","Prostate and Lung","Prostate and Breast_TCGA","Lung and Thyroid and Breast_TCGA","Kidney and Breast_MB","Lung and Prostate and Breast_TCGA and Breast_MB"
"APEX1","ARL9","ATOX1","CDK16","KL","RPS27L","RTCA","ZNF597","","","","","","","","","","","","","","","","","",""
"APITD1","ARMT1","ATP10D","CDKN2AIP","KLF4","RRM2B","RTN1","ZYG11A","","","","","","","","","","","","","","","","","",""
"APLP1","ART3","ATP1A4","CDKN2D","LACC1","SAPCD2","SLC52A2","","","","","","","","","","","","","","","","","","",""
"APOBEC3B","ARV1","ATP2B4","CEP131","LECT1","SCUBE2","SLC7A5","","","","","","","","","","","","","","","","","","",""
"APOD","ASPM","ATP5S","CEP72","LGI2","SELL","SMG5","","","","","","","","","","","","","","","","","","",""
"APPL2","ATAD2","ATP6V1B1","CFI","LHFPL4","SERINC1","SPOP","","","","","","","","","","","","","","","","","","",""
"APRT","ATF3","ATP6V1E2","CGREF1","LNX1","SH3BGRL","STX7","","","","","","","","","","","","","","","","","","",""
"AQP9","ATG16L1","ATPAF2","CHIC1","LRP2BP","SKP2","SULT2B1","","","","","","","","","","","","","","","","","","",""
"ARHGAP15","ATL2","ATRNL1","CHPT1","LRRC20","SLAMF1","SYNJ2BP","","","","","","","","","","","","","","","","","","",""
"ARHGAP30","ATP11B","ATXN7L2","CHTF18","LRRC3","SLC15A2","TAF6","","","","","","","","","","","","","","","","","","",""
"ARHGAP33","ATP11C","B3GNT3","CLCN3","LTBP4","SLC9A9","TGFBR2","","","","","","","","","","","","","","","","","","",""
"ARHGAP9","ATP6AP1","B3GNT5","CLDN2","MAF","SPARCL1","TLR8","","","","","","","","","","","","","","","","","","",""
"ARID5B","ATP6AP1L","B4GALNT1","CLIC2","MAFF","SPIB","TMED10","","","","","","","","","","","","","","","","","","",""
"ARIH1","ATP6V0A1","B4GALT6","CLIC5","MANEAL","SPRED1","TMEM119","","","","","","","","","","","","","","","","","","",""
"ARL14EP","ATP6V1C2","BACH1","CLINT1","MAT1A","SRM","TNFSF13B","","","","","","","","","","","","","","","","","","",""
"ARL5B","ATP6V1H","BAIAP3","CMKLR1","MCL1","SVEP1","TOMM40","","","","","","","","","","","","","","","","","","",""
"ARNT2","ATRIP","BAK1","CMTM6","MDH2","TACC1","TRIM22","","","","","","","","","","","","","","","","","","",""
"ARPC1B","AURKA","BARX2","CNDP2","MED13","TACC3","TSPAN8","","","","","","","","","","","","","","","","","","",""
"ARPC2","AVEN","BBS5","COMTD1","METTL21B","TAPT1","UBE2T","","","","","","","","","","","","","","","","","","",""
"ARPC5","AZGP1","BBS7","COPS7B","MGLL","TLE4","VWA2","","","","","","","","","","","","","","","","","","",""
"ARPC5L","B4GALT5","BCL2L14","CPB2","MLIP","TPRN","ZMIZ2","","","","","","","","","","","","","","","","","","",""
"ARRB1","B4GALT7","BCL2L2","CPNE1","MST1L","TRIP13","ZNF763","","","","","","","","","","","","","","","","","","",""
"ARSD","B9D1","BEND7","CPSF1","MSX2","TROAP","ZNF91","","","","","","","","","","","","","","","","","","",""
"ARSG","BACH2","BGN","CREBL2","MYADM","TSPYL1","","","","","","","","","","","","","","","","","","","",""
"ASCL1","BAIAP2L2","BICC1","CRTC2","NCAM1","TTYH1","","","","","","","","","","","","","","","","","","","",""
