Gene,FC,Source
PPP1R15A,1.25,Thyroid
PPP4R1L,1.25,Thyroid
PPP4R1,1.25,Thyroid
PRDM1,1.25,Thyroid
PRDM6,1.25,Thyroid
PRPF38B,1.25,Thyroid
PRR15L,1.25,Thyroid
PTPDC1,1.25,Thyroid
PVRL3,1.25,Thyroid
RAB3A,1.25,Thyroid
RAB29,1.25,Thyroid
RAD23B,1.25,Thyroid
RAG2,1.25,Thyroid
RALGDS,1.25,Thyroid
RANBP17,1.25,Thyroid
RBM38,1.25,Thyroid
RBMS1,1.25,Thyroid
RFPL1S,1.25,Thyroid
RINL,1.25,Thyroid
RNF125,1.25,Thyroid
RNF217,1.25,Thyroid
RRAGD,1.25,Thyroid
RSPH9,1.25,Thyroid
SDC2,1.25,Thyroid
SDC3,1.25,Thyroid
SDHA,1.25,Thyroid
SERP2,1.25,Thyroid
SERPINB8,1.25,Thyroid
SERPINB9,1.25,Thyroid
SFRP5,1.25,Thyroid
SGCB,1.25,Thyroid
SIX2,1.25,Thyroid
SLC39A10,1.25,Thyroid
SLC8A2,1.25,Thyroid
SNTA1,1.25,Thyroid
SNX16,1.25,Thyroid
SNX1,1.25,Thyroid
SNX25,1.25,Thyroid
SORCS1,1.25,Thyroid
SPATA18,1.25,Thyroid
SPEF1,1.25,Thyroid
SPR,1.25,Thyroid
SPTB,1.25,Thyroid
SQLE,1.25,Thyroid
SSC5D,1.25,Thyroid
SSX2,1.25,Thyroid
ST3GAL1,1.25,Thyroid
STARD5,1.25,Thyroid
STK17A,1.25,Thyroid
SULT1C2,1.25,Thyroid
SYCP2,1.25,Thyroid
TARP,1.25,Thyroid
TATDN3,1.25,Thyroid
TBCE,1.25,Thyroid
TET3,1.25,Thyroid
TIA1,1.25,Thyroid
TIAM1,1.25,Thyroid
TIMP4,1.25,Thyroid
TIPARP,1.25,Thyroid
TJP2,1.25,Thyroid
TMEM147,1.25,Thyroid
TMEM154,1.25,Thyroid
TMEM155,1.25,Thyroid
TMEM215,1.25,Thyroid
VMP1,1.25,Thyroid
TMEM63B,1.25,Thyroid
TMEM63C,1.25,Thyroid
TMEM87A,1.25,Thyroid
TNFRSF1A,1.25,Thyroid
TOMM40L,1.25,Thyroid
TP53INP1,1.25,Thyroid
TRA2A,1.25,Thyroid
TRANK1,1.25,Thyroid
TRAP1,1.25,Thyroid
TRIM21,1.25,Thyroid
TRIM5,1.25,Thyroid
TSPYL5,1.25,Thyroid
TSSK6,1.25,Thyroid
UACA,1.25,Thyroid
UNC119,1.25,Thyroid
UNC5D,1.25,Thyroid
USP15,1.25,Thyroid
VAC14,1.25,Thyroid
VEGFB,1.25,Thyroid
VEPH1,1.25,Thyroid
VIM,1.25,Thyroid
VSIG2,1.25,Thyroid
WEE1,1.25,Thyroid
WISP2,1.25,Thyroid
WT1,1.25,Thyroid
XAF1,1.25,Thyroid
XG,1.25,Thyroid
XPNPEP2,1.25,Thyroid
YPEL1,1.25,Thyroid
YPEL4,1.25,Thyroid
ZBTB47,1.25,Thyroid
ZCCHC12,1.25,Thyroid
ZCCHC6,1.25,Thyroid
ZFAND5,1.25,Thyroid
ZFHX4,1.25,Thyroid
ZFP36L1,1.25,Thyroid
ZNF114,1.25,Thyroid
ZKSCAN7,1.25,Thyroid
ZNF267,1.25,Thyroid
ZNF518B,1.25,Thyroid
ZNF560,1.25,Thyroid
ZNF589,1.25,Thyroid
ZSWIM5,1.25,Thyroid
ACOT13,1.25,Prostate
ACSL3,1.25,Prostate
ADAP2,1.25,Prostate
ALDH9A1,1.25,Prostate
ARFGAP3,1.25,Prostate
C9ORF40,1.25,Prostate
CCL3,1.25,Prostate
CPNE4,1.25,Prostate
CTHRC1,1.25,Prostate
ELMO2,1.25,Prostate
FCGR1A,1.25,Prostate
GATAD2A,1.25,Prostate
HLX,1.25,Prostate
HMGA1,1.25,Prostate
HMGB2,1.25,Prostate
KCNS1,1.25,Prostate
KIAA1841,1.25,Prostate
MCM5,1.25,Prostate
MNX1,1.25,Prostate
MYCL,1.25,Prostate
PEX13,1.25,Prostate
POC1A,1.25,Prostate
RFPL2,1.25,Prostate
SLC10A5,1.25,Prostate
SLC15A1,1.25,Prostate
SNX8,1.25,Prostate
STK39,1.25,Prostate
TDP2,1.25,Prostate
VSIG10L,1.25,Prostate
A2M,1.25,Lung
ABCA6,1.25,Lung
ABHD11,1.25,Lung
ABHD13,1.25,Lung
ABI3BP,1.25,Lung
ACAP3,1.25,Lung
ACSL5,1.25,Lung
ACSM3,1.25,Lung
ACTR3B,1.25,Lung
ADCK5,1.25,Lung
ADH1A,1.25,Lung
ADH1B,1.25,Lung
ADH5,1.25,Lung
ADH6,1.25,Lung
ADPRH,1.25,Lung
ADRA2A,1.25,Lung
ADRB2,1.25,Lung
ADRBK2,1.25,Lung
AGAP3,1.25,Lung
AGK,1.25,Lung
AHRR,1.25,Lung
AKAP13,1.25,Lung
AKAP7,1.25,Lung
ALCAM,1.25,Lung
ALDH9A1,1.25,Lung
ALDOB,1.25,Lung
ALKBH4,1.25,Lung
ANK3,1.25,Lung
ANKRD13D,1.25,Lung
ANKRD16,1.25,Lung
ANKRD22,1.25,Lung
ANKRD39,1.25,Lung
ANKRD44,1.25,Lung
ANO5,1.25,Lung
ANXA4,1.25,Lung
AOAH,1.25,Lung
AOC3,1.25,Lung
APC,1.25,Lung
APH1B,1.25,Lung
APOBEC3C,1.25,Lung
APOBEC3G,1.25,Lung
APOL3,1.25,Lung
ARF5,1.25,Lung
ARFGAP1,1.25,Lung
ARHGAP24,1.25,Lung
ARHGAP25,1.25,Lung
ARHGAP31,1.25,Lung
ARHGAP39,1.25,Lung
ARHGDIB,1.25,Lung
ARHGEF6,1.25,Lung
ARID4A,1.25,Lung
ARRDC4,1.25,Lung
ATAD3A,1.25,Lung
ATAD3B,1.25,Lung
ATG4D,1.25,Lung
ATP13A4,1.25,Lung
AURKAIP1,1.25,Lung
AURKB,1.25,Lung
CEP131,1.25,Lung
B2M,1.25,Lung
B3GAT3,1.25,Lung
B3GNT4,1.25,Lung
B4GALNT4,1.25,Lung
B4GALT2,1.25,Lung
BANF1,1.25,Lung
BANK1,1.25,Lung
BANP,1.25,Lung
BCL11B,1.25,Lung
BCL2L12,1.25,Lung
BCL3,1.25,Lung
BIRC5,1.25,Lung
BLNK,1.25,Lung
BMPR2,1.25,Lung
BOLA2,1.25,Lung
BRIX1,1.25,Lung
BRMS1,1.25,Lung
BRSK1,1.25,Lung
BTD,1.25,Lung
BTK,1.25,Lung
BTLA,1.25,Lung
BTN3A3,1.25,Lung
C11ORF84,1.25,Lung
RITA1,1.25,Lung
SMCO3,1.25,Lung
C14ORF105,1.25,Lung
KNSTRN,1.25,Lung
C16ORF59,1.25,Lung
NATD1,1.25,Lung
C17ORF53,1.25,Lung
FAAP100,1.25,Lung
SCIMP,1.25,Lung
LDLRAD4,1.25,Lung
CBARP,1.25,Lung
C19ORF48,1.25,Lung
C19ORF73,1.25,Lung
C1QTNF7,1.25,Lung
AUNIP,1.25,Lung
C1ORF159,1.25,Lung
C1ORF35,1.25,Lung
C1ORF61,1.25,Lung
LAMP5,1.25,Lung
C20ORF194,1.25,Lung
MRGBP,1.25,Lung
KANSL1L,1.25,Lung
C3AR1,1.25,Lung
C3ORF58,1.25,Lung
C4A,1.25,Lung
NDNF,1.25,Lung
CYSTM1,1.25,Lung
CREBRF,1.25,Lung
EXOC3-AS1,1.25,Lung
MPLKIP,1.25,Lung
BRAT1,1.25,Lung
C7ORF31,1.25,Lung
PPP1R35,1.25,Lung
C7ORF55,1.25,Lung
HILPDA,1.25,Lung
C7,1.25,Lung
TMEM249,1.25,Lung
HGH1,1.25,Lung
RHPN1-AS1,1.25,Lung
ARHGEF39,1.25,Lung
SAPCD2,1.25,Lung
FAM219A,1.25,Lung
ARRDC1-AS1,1.25,Lung
C9ORF40,1.25,Lung
CA2,1.25,Lung
CA3,1.25,Lung
CABLES2,1.25,Lung
CALCOCO2,1.25,Lung
CALCRL,1.25,Lung
CAMK2D,1.25,Lung
CARD6,1.25,Lung
CASKIN1,1.25,Lung
CASP10,1.25,Lung
CASP1,1.25,Lung
CASS4,1.25,Lung
CAT,1.25,Lung
CBLN2,1.25,Lung
CBS,1.25,Lung
CBX7,1.25,Lung
CCDC137,1.25,Lung
CCDC138,1.25,Lung
CCDC141,1.25,Lung
CCDC150,1.25,Lung
CCDC86,1.25,Lung
CCL19,1.25,Lung
CCNDBP1,1.25,Lung
CCNG1,1.25,Lung
CCPG1,1.25,Lung
CCR4,1.25,Lung
CCR6,1.25,Lung
CCR7,1.25,Lung
ACKR4,1.25,Lung
CD28,1.25,Lung
CD40LG,1.25,Lung
CD44,1.25,Lung
CD4,1.25,Lung
CD59,1.25,Lung
CD5,1.25,Lung
CD74,1.25,Lung
CD83,1.25,Lung
CD84,1.25,Lung
CDC20,1.25,Lung
CDC25C,1.25,Lung
CDC34,1.25,Lung
CDC42SE2,1.25,Lung
CDCA3,1.25,Lung
CDCA5,1.25,Lung
CDCA8,1.25,Lung
CDK16,1.25,Lung
CDKN2AIP,1.25,Lung
CDKN2D,1.25,Lung
CDT1,1.25,Lung
CEBPA,1.25,Lung
CELF2,1.25,Lung
CENPA,1.25,Lung
CEP55,1.25,Lung
CEP72,1.25,Lung
CFI,1.25,Lung
CGREF1,1.25,Lung
CHEK1,1.25,Lung
CHIC1,1.25,Lung
CHORDC1,1.25,Lung
CHPT1,1.25,Lung
CHRDL1,1.25,Lung
CHST4,1.25,Lung
CHTF18,1.25,Lung
CKS2,1.25,Lung
CLCN3,1.25,Lung
CLDN2,1.25,Lung
CLEC9A,1.25,Lung
CLIC2,1.25,Lung
CLIC5,1.25,Lung
CLINT1,1.25,Lung
CLN5,1.25,Lung
CMKLR1,1.25,Lung
CMTM6,1.25,Lung
CNDP2,1.25,Lung
CNFN,1.25,Lung
BLOC1S4,1.25,Lung
COASY,1.25,Lung
COL14A1,1.25,Lung
COL6A6,1.25,Lung
COMTD1,1.25,Lung
COPS7B,1.25,Lung
CPB2,1.25,Lung
CPNE1,1.25,Lung
CPSF1,1.25,Lung
CPVL,1.25,Lung
CREBL2,1.25,Lung
CRTC2,1.25,Lung
CRYGN,1.25,Lung
CSGALNACT2,1.25,Lung
CST2,1.25,Lung
CTDSPL,1.25,Lung
CTSO,1.25,Lung
CTSS,1.25,Lung
CTU1,1.25,Lung
CX3CR1,1.25,Lung
CXCL16,1.25,Lung
CXORF21,1.25,Lung
CYBB,1.25,Lung
CYFIP2,1.25,Lung
CYP27A1,1.25,Lung
CYP2C18,1.25,Lung
CYP2U1,1.25,Lung
CYP4X1,1.25,Lung
CYP7B1,1.25,Lung
CYSLTR1,1.25,Lung
DAB2,1.25,Lung
DBF4B,1.25,Lung
DBNDD1,1.25,Lung
DCAF6,1.25,Lung
DDX24,1.25,Lung
DDX56,1.25,Lung
DKK2,1.25,Lung
DLL3,1.25,Lung
DMAP1,1.25,Lung
DMPK,1.25,Lung
DNAJC5B,1.25,Lung
DNMT3A,1.25,Lung
DNMT3B,1.25,Lung
DOCK2,1.25,Lung
DOCK8,1.25,Lung
DPM3,1.25,Lung
DRAP1,1.25,Lung
DRP2,1.25,Lung
DSCC1,1.25,Lung
DTX4,1.25,Lung
DUS1L,1.25,Lung
E2F4,1.25,Lung
E4F1,1.25,Lung
ECE2,1.25,Lung
EDA2R,1.25,Lung
EEF1A2,1.25,Lung
EGR2,1.25,Lung
EHF,1.25,Lung
EIF1AD,1.25,Lung
EIF2AK1,1.25,Lung
EIF4E3,1.25,Lung
EIF4EBP1,1.25,Lung
ELF1,1.25,Lung
EME1,1.25,Lung
ENC1,1.25,Lung
ENTPD3,1.25,Lung
EPB41L2,1.25,Lung
EPM2A,1.25,Lung
ERAP1,1.25,Lung
ERAP2,1.25,Lung
ERMAP,1.25,Lung
ESRRA,1.25,Lung
EVI2B,1.25,Lung
EZH2,1.25,Lung
F11,1.25,Lung
F13A1,1.25,Lung
F2RL1,1.25,Lung
F8,1.25,Lung
FCMR,1.25,Lung
FAM114A2,1.25,Lung
FAM134B,1.25,Lung
FAM136A,1.25,Lung
FAM13B,1.25,Lung
EMC9,1.25,Lung
FAM189B,1.25,Lung
FAM195A,1.25,Lung
FAM64A,1.25,Lung
FAM71D,1.25,Lung
FAM72B,1.25,Lung
RMDN2,1.25,Lung
FAM83D,1.25,Lung
FAM89B,1.25,Lung
FAM96B,1.25,Lung
FANCA,1.25,Lung
FANCG,1.25,Lung
FASTK,1.25,Lung
FAT4,1.25,Lung
FBRSL1,1.25,Lung
FBXL3,1.25,Lung
FBXO43,1.25,Lung
FBXO7,1.25,Lung
FBXW11,1.25,Lung
FCHO2,1.25,Lung
FCHSD2,1.25,Lung
FEM1C,1.25,Lung
FGD2,1.25,Lung
FGF14,1.25,Lung
FGFR2,1.25,Lung
FGL2,1.25,Lung
FHL1,1.25,Lung
FLAD1,1.25,Lung
FLI1,1.25,Lung
FLT3,1.25,Lung
FMO2,1.25,Lung
FMO3,1.25,Lung
FMO4,1.25,Lung
FMO5,1.25,Lung
FOLR2,1.25,Lung
FOXN3,1.25,Lung
FOXO1,1.25,Lung
FRMD4B,1.25,Lung
FRY,1.25,Lung
FRZB,1.25,Lung
FYB,1.25,Lung
FZD7,1.25,Lung
GALC,1.25,Lung
GALK1,1.25,Lung
GALNT10,1.25,Lung
GALNT9,1.25,Lung
GAL,1.25,Lung
GANC,1.25,Lung
GAS7,1.25,Lung
GATA6,1.25,Lung
GCSAM,1.25,Lung
GGTA1P,1.25,Lung
GIMAP2,1.25,Lung
GIMAP4,1.25,Lung
GIMAP6,1.25,Lung
GIMAP8,1.25,Lung
GINS4,1.25,Lung
GNAQ,1.25,Lung
GNG2,1.25,Lung
GNG4,1.25,Lung
GPA33,1.25,Lung
GPC2,1.25,Lung
GPD1,1.25,Lung
GPR15,1.25,Lung
SLC52A2,1.25,Lung
GPR34,1.25,Lung
GPSM2,1.25,Lung
GTF2IRD1,1.25,Lung
GZMK,1.25,Lung
H19,1.25,Lung
H2AFJ,1.25,Lung
H2AFX,1.25,Lung
HAUS8,1.25,Lung
HBQ1,1.25,Lung
HCN3,1.25,Lung
HDHD2,1.25,Lung
DNAAF5,1.25,Lung
HES4,1.25,Lung
HGS,1.25,Lung
HHLA2,1.25,Lung
HINFP,1.25,Lung
HIST1H1D,1.25,Lung
HIST1H2AE,1.25,Lung
HIST1H2AM,1.25,Lung
HIST1H2BG,1.25,Lung
HIST1H2BH,1.25,Lung
HIST1H2BJ,1.25,Lung
HIST1H3D,1.25,Lung
HIST2H2AC,1.25,Lung
HIST2H3C,1.25,Lung
HIST3H2A,1.25,Lung
HLA-B,1.25,Lung
HLA-DMA,1.25,Lung
HLA-DMB,1.25,Lung
HLA-DOA,1.25,Lung
HLA-DOB,1.25,Lung
HLA-DPA1,1.25,Lung
HLA-DPB1,1.25,Lung
HLA-DQA2,1.25,Lung
HLA-DRA,1.25,Lung
HLA-E,1.25,Lung
HLF,1.25,Lung
HMBS,1.25,Lung
HNMT,1.25,Lung
