Gene,FC,Source
ARHGAP36,2,Breast_TCGA
ARMT1,2,Breast_TCGA
ATP6V1B1,2,Breast_TCGA
AZGP1,2,Breast_TCGA
B3GNT3,2,Breast_TCGA
BACH2,2,Breast_TCGA
BAIAP3,2,Breast_TCGA
BBOX1,2,Breast_TCGA
BCAS1,2,Breast_TCGA
BCL11A,2,Breast_TCGA
BIRC5,2,Breast_TCGA
BOC,2,Breast_TCGA
BPIFB2,2,Breast_TCGA
C1ORF106,2,Breast_TCGA
C1ORF64,2,Breast_TCGA
C2ORF40,2,Breast_TCGA
C2ORF54,2,Breast_TCGA
C3ORF58,2,Breast_TCGA
C4ORF32,2,Breast_TCGA
C5ORF38,2,Breast_TCGA
C6ORF141,2,Breast_TCGA
CA12,2,Breast_TCGA
CACHD1,2,Breast_TCGA
CACNA1H,2,Breast_TCGA
CACNA2D2,2,Breast_TCGA
CALB2,2,Breast_TCGA
CALD1,2,Breast_TCGA
CALML3,2,Breast_TCGA
CAPN8,2,Breast_TCGA
CARTPT,2,Breast_TCGA
CCDC170,2,Breast_TCGA
CCDC8,2,Breast_TCGA
CCL19,2,Breast_TCGA
CCL21,2,Breast_TCGA
CD79A,2,Breast_TCGA
CDC20,2,Breast_TCGA
CDCA7,2,Breast_TCGA
CDH2,2,Breast_TCGA
CDH3,2,Breast_TCGA
CEACAM5,2,Breast_TCGA
CFB,2,Breast_TCGA
CHI3L1,2,Breast_TCGA
CHRDL1,2,Breast_TCGA
CHRNA5,2,Breast_TCGA
CHST3,2,Breast_TCGA
CILP,2,Breast_TCGA
CLDN11,2,Breast_TCGA
CLDN8,2,Breast_TCGA
CLEC3A,2,Breast_TCGA
CLGN,2,Breast_TCGA
CLIC6,2,Breast_TCGA
CLU,2,Breast_TCGA
CMBL,2,Breast_TCGA
CNIH2,2,Breast_TCGA
CNN1,2,Breast_TCGA
CNTN4,2,Breast_TCGA
CNTNAP3,2,Breast_TCGA
COCH,2,Breast_TCGA
COL17A1,2,Breast_TCGA
COL22A1,2,Breast_TCGA
COL9A3,2,Breast_TCGA
CPXM1,2,Breast_TCGA
CRYAB,2,Breast_TCGA
CST5,2,Breast_TCGA
CST9,2,Breast_TCGA
CX3CL1,2,Breast_TCGA
CXCL13,2,Breast_TCGA
CYP1B1,2,Breast_TCGA
CYP2A6,2,Breast_TCGA
CYP2A7,2,Breast_TCGA
CYP2B7P,2,Breast_TCGA
CYP4B1,2,Breast_TCGA
CYP4X1,2,Breast_TCGA
CYP4Z1,2,Breast_TCGA
CYP4Z2P,2,Breast_TCGA
DACH1,2,Breast_TCGA
DCX,2,Breast_TCGA
DEGS2,2,Breast_TCGA
DEPDC1,2,Breast_TCGA
DIO1,2,Breast_TCGA
DIO2,2,Breast_TCGA
DLGAP5,2,Breast_TCGA
DLK1,2,Breast_TCGA
DMD,2,Breast_TCGA
DNAH5,2,Breast_TCGA
DRAIC,2,Breast_TCGA
DSC2,2,Breast_TCGA
DSC3,2,Breast_TCGA
DSG3,2,Breast_TCGA
DTNA,2,Breast_TCGA
DUSP4,2,Breast_TCGA
DZIP1,2,Breast_TCGA
EDN1,2,Breast_TCGA
EDN3,2,Breast_TCGA
EFCC1,2,Breast_TCGA
EGFR,2,Breast_TCGA
ELF5,2,Breast_TCGA
ENPP5,2,Breast_TCGA
EPYC,2,Breast_TCGA
ERBB4,2,Breast_TCGA
ERRFI1,2,Breast_TCGA
ESR1,2,Breast_TCGA
EWSAT1,2,Breast_TCGA
F2RL2,2,Breast_TCGA
F7,2,Breast_TCGA
FABP7,2,Breast_TCGA
FADS2,2,Breast_TCGA
FAM126A,2,Breast_TCGA
FAM134B,2,Breast_TCGA
FAM171A1,2,Breast_TCGA
FAM196A,2,Breast_TCGA
FAM234B,2,Breast_TCGA
FAM3B,2,Breast_TCGA
FAM83B,2,Breast_TCGA
FAT1,2,Breast_TCGA
FAT2,2,Breast_TCGA
FBP1,2,Breast_TCGA
FBXL16,2,Breast_TCGA
FDCSP,2,Breast_TCGA
FERMT1,2,Breast_TCGA
FGF1,2,Breast_TCGA
FKBP5,2,Breast_TCGA
